BldgID,BuildingSF,StarRating,BuildingClass,SalePrice,PricePerSF,SaleStatus,SecondaryType,LandAreaAC,NumberOfFloors,CeilingHeightDecimals,LocationType,PropertyZipCode,MSA,NearestMajorHighwayInterchange,DistancetoNearestInterchange,GeographicMedicalCostIndexbyZipCode,quarter,year
1,141000,2,B,3550000,25.18,Sold,Manufacturing,13.41,1,12.99,Suburban,1001,44140,6032,26.2,1.0995,2020Q4,2020
2,128500,4,B,5025000,39.11,Sold,Warehouse,15.35,1,25,Suburban,1001,44140,6032,26.2,1.0995,2019Q4,2019
3,84303,2,C,5000000,59.31,Sold,Distribution,15.74,1,18,Suburban,1020,44140,6032,33.84,1.0995,2019Q4,2019
4,74520,2,C,3300000,44.28,Sold,Manufacturing,4.91,1,20,Suburban,1022,44140,6032,35.49,1.0995,2020Q4,2020
5,55000,3,B,1975000,35.91,Sold,Manufacturing,6.26,1,20,Suburban,1022,44140,6032,35.49,1.0995,2019Q1,2019
6,70024,2,C,1200000,17.14,Sold,Manufacturing,0.71,4,12,Suburban,1040,44140,6032,34.6,1.0995,2020Q4,2020
7,110800,2,B,3000000,27.08,Sold,Warehouse,8.04,1,22,Suburban,1040,44140,6032,34.6,1.0995,2020Q4,2020
8,158077,2,C,1130000,7.15,Sold,Manufacturing,5,1,15,Suburban,1040,44140,6032,34.6,1.0995,2020Q1,2020
9,230000,2,C,2700000,11.74,Under Contract,Manufacturing,3.66,4,18.5,Suburban,1040,44140,6032,34.6,1.0995,2021Q2,2021
10,125182,4,C,4400000,35.15,Sold,Manufacturing,6.8,1,24,Suburban,1085,44140,6032,28.52,1.0995,2021Q1,2021
11,147294,3,B,35000000,237.62,Sold,Refrigeration/Cold Storage,14.69,1,46.5,Suburban,1085,44140,6032,28.52,1.0995,2020Q3,2020
12,60000,2,B,3700000,61.67,Sold,Manufacturing,3.96,1,20,Suburban,1085,44140,6032,28.52,1.0995,2020Q2,2020
13,171445,1,C,1112500,6.49,Sold,Distribution,14.67,1,24,Suburban,1085,44140,6032,28.52,1.0995,2019Q4,2019
14,147000,2,B,3040000,20.68,Sold,Distribution,3.77,2,19,Suburban,1089,44140,6032,28.5,1.0995,2021Q1,2021
15,219336,2,C,1155000,5.27,Sold,Manufacturing,9,4,15.33,Suburban,1095,44140,6032,34.14,1.0995,2020Q4,2020
16,103000,3,C,3700000,35.92,Sold,Warehouse,4.5,1,20,Suburban,1104,44140,6032,30.95,1.0995,2020Q4,2020
17,229760,3,B,4000000,17.41,Sold,Manufacturing,5.06,1,10,Suburban,1151,44140,6032,34.01,1.0995,2020Q3,2020
18,251640,3,B,3024982,12.02,Sold,Distribution,13.53,2,25,Suburban,1201,38340,6032,54.83,1.0995,2019Q2,2019
19,167600,3,B,3800000,22.67,Sold,Manufacturing,45,1,30.5,Suburban,1238,38340,6032,44.72,1.0995,2019Q1,2019
20,199000,2,C,26800000,134.67,Sold,Warehouse,9.51,4,14,Suburban,1331,49340,2114,60.05,1.0995,2020Q2,2020
21,97461,3,B,4250000,43.61,Sold,Warehouse,41.27,1,14,Suburban,1373,44140,6032,52.72,1.0995,2020Q4,2020
22,200000,2,B,2750000,13.75,Sold,Undetermined,9.09,2,14,Suburban,1420,49340,2114,40.38,1.0995,2020Q2,2020
23,101017,2,C,3900000,38.61,Sold,Distribution,8.58,2,30,Suburban,1420,49340,2114,40.38,1.0995,2020Q1,2020
24,350000,2,C,5600000,16,Sold,Warehouse,17,1,23,Suburban,1420,49340,2114,40.38,1.0995,2019Q4,2019
25,58000,3,C,1250000,21.55,Sold,Warehouse,4,2,16,Suburban,1420,49340,2114,40.38,1.0995,2019Q2,2019
26,355000,4,B,36700000,103.38,Sold,Warehouse,34.89,1,24,Suburban,1434,14460,2114,30,1.238,2019Q2,2019
